feature,importance
loan_score_var,0.1569101706167897
fht1,0.14675981887228826
debt_worship_interaction,0.12128728188335516
spending_vigilance_interaction,0.11535338878807226
vigilance_score_avg,0.09741658902035312
kmsi7,0.09438409158399252
spending_score_avg,0.07615279463618259
kmsi1,0.07401985309379354
extravagance_to_spending_ratio,0.06271250353427349
worship_to_vigilance_ratio,0.0550035079708992
