feature,importance
saving_score_avg,0.2088248143294015
fht4,0.15237710525213444
saving_high_score_count,0.15066666666666667
debt_worship_interaction,0.1368274190110827
fht7,0.12165137614678899
debt_to_saving_ratio,0.07459419210722264
fht3,0.06081841432225064
planning_score_avg,0.047672847985347995
planning_high_score_count,0.02656716417910448
fht5,0.02
